Business Name,Category,City,State,Phone,Website,Social Media,Ethiopian Ownership/Affiliation Evidence,AI/Website Lead Priority,Source,Lead Score,Suggested Offer,Ownership Verification
Bole Bole Ethiopian Kitchen & Bar,Restaurant / Bar,Herndon,VA,,,,Ethiopian business listing,High,Go Ethiopian Way,85,Website + AI receptionist + Google/SEO + online ordering/booking,Needs direct owner confirmation
Enatye Ethiopian Restaurant,Restaurant,Herndon,VA,,,,Ethiopian business listing,High,Go Ethiopian Way,85,Website + AI receptionist + Google/SEO + online ordering/booking,Needs direct owner confirmation
Yegna Ethiopian Market & Carryout,Grocery / Carryout,Woodbridge,VA,,,,Verified Ethiopian business listing,High,Go Ethiopian Way,85,Website modernization + local SEO + AI customer support,Needs direct owner confirmation
Abyssinia Ethiopian Market,Grocery,Washington,DC,202-332-0894,,,Ethiopian market listing,Medium,HabeshaLink,65,Website modernization + local SEO + AI customer support,Source provides Ethiopian/family ownership or affiliation evidence
Addisu Gebeya Market,Grocery,Washington,DC,202-986-6013,,,Ethiopian market listing,Medium,HabeshaLink,65,Website modernization + local SEO + AI customer support,Source provides Ethiopian/family ownership or affiliation evidence
Amanuel Ethiopian Market,Grocery,Washington,DC,202-723-4444,,,Ethiopian market listing,Medium,HabeshaLink,65,Website modernization + local SEO + AI customer support,Source provides Ethiopian/family ownership or affiliation evidence
Black Lion Ethiopian Market,Grocery,Washington,DC,202-797-0044,,,Ethiopian market listing,Medium,HabeshaLink,65,Website modernization + local SEO + AI customer support,Source provides Ethiopian/family ownership or affiliation evidence
DC International Market,Grocery,Washington,DC,,,,Verified Ethiopian business listing,Medium,Go Ethiopian Way,65,Website modernization + local SEO + AI customer support,Needs direct owner confirmation
Max James State Farm Agency,Insurance,Washington,DC,202-319-0005,,,Ethiopian Yellow Pages listing,Medium,Ethiopian Yellow Pages,65,Website modernization + AI lead capture + appointment automation,Source provides Ethiopian/family ownership or affiliation evidence
Habesha International Market,Grocery,Mount Rainier,MD,301-277-6070,,,Ethiopian market directory listing,Medium,HabeshaLink,65,Website modernization + local SEO + AI customer support,Needs direct owner confirmation
Tibeb Home Goods,Ethiopian Products / Home Goods,Rockville,MD,,,,Ethiopian products business listing,Medium,Go Ethiopian Way,65,Website modernization + local SEO + AI customer support,Needs direct owner confirmation
Ethiopia Plus Market,Grocery,Silver Spring,MD,301-962-3544,,,Ethiopian market listing,Medium,HabeshaLink,65,Website modernization + local SEO + AI customer support,Source provides Ethiopian/family ownership or affiliation evidence
Fairland Market,Grocery,Silver Spring,MD,301-384-8323,,,Ethiopian market directory listing,Medium,HabeshaLink,65,Website modernization + local SEO + AI customer support,Needs direct owner confirmation
Habesha Kemis Boutique,Beauty / Fashion,Silver Spring,MD,,,,Ethiopian fashion business listing,Medium,Go Ethiopian Way,65,Website modernization + local SEO + AI customer support,Needs direct owner confirmation
Woder Grocery & Exotic Market,Grocery,Silver Spring,MD,301-562-5901,,,Ethiopian market directory listing,Medium,HabeshaLink,65,Website modernization + local SEO + AI customer support,Needs direct owner confirmation
Arada International Market,Grocery,Takoma Park,MD,301-270-3224,,,Ethiopian market directory listing,Medium,HabeshaLink,65,Website modernization + local SEO + AI customer support,Needs direct owner confirmation
Black Lion Ethiopian Market,Grocery,Takoma Park,MD,301-270-2721,,,Ethiopian market directory listing,Medium,HabeshaLink,65,Website modernization + local SEO + AI customer support,Needs direct owner confirmation
Nazareth Market,Grocery,Herndon,VA,,,,Verified Ethiopian business listing,Medium,Go Ethiopian Way,65,Website modernization + local SEO + AI customer support,Needs direct owner confirmation
Sheger Ethiopia Market,Grocery,Woodbridge,VA,,,,Verified Ethiopian business listing,Medium,Go Ethiopian Way,65,Website modernization + local SEO + AI customer support,Needs direct owner confirmation
